time,side,profit,duration_approx
2026.01.07 08:33:15,long,-29.28,N/A
2026.01.07 16:21:33,long,-27.36,N/A
2026.01.12 17:09:10,short,-29.3,N/A
2026.01.13 16:22:55,short,-26.65,N/A
2026.01.14 09:23:44,short,-28.0,N/A
2026.01.20 10:52:56,short,-28.56,N/A
2026.01.20 17:01:22,short,-28.08,N/A
2026.01.21 09:51:52,short,-31.23,N/A
2026.01.23 11:28:50,long,-29.0,N/A
2026.01.23 13:01:07,long,-28.44,N/A
2026.01.28 12:09:53,short,-28.88,N/A
2026.01.30 13:45:22,long,-28.44,N/A
2026.02.06 09:25:43,short,-23.56,N/A
2026.02.11 13:47:25,short,-29.0,N/A
2026.02.17 16:50:43,long,-31.26,N/A
2026.02.20 12:34:07,short,-27.12,N/A
2026.02.23 18:18:01,short,-28.4,N/A
2026.02.24 17:00:00,long,-17.7,N/A
2026.02.26 19:49:17,long,-25.98,N/A
2026.03.02 17:06:18,long,-24.44,N/A
2026.03.03 12:37:11,long,-25.85,N/A
2026.03.03 18:46:41,long,-20.32,N/A
2026.03.05 09:45:09,long,-24.78,N/A
2026.03.05 16:18:53,long,-24.15,N/A
2026.03.10 17:11:00,short,-31.01,N/A
2026.03.19 13:42:42,long,-27.36,N/A
2026.04.01 19:58:39,short,-27.58,N/A
2026.04.08 19:16:45,long,-28.77,N/A
2026.04.14 11:06:26,short,-28.92,N/A
2026.04.16 17:40:32,long,-24.86,N/A
2026.04.16 18:36:00,long,-26.8,N/A
2026.04.21 18:36:25,long,-24.9,N/A
2026.04.23 16:32:42,short,-30.8,N/A
2026.04.27 18:45:34,long,-28.27,N/A
2026.04.28 13:52:16,long,-27.94,N/A
2026.04.29 12:40:40,long,-27.6,N/A
2026.04.29 14:46:53,long,-26.84,N/A
2026.04.29 16:30:50,long,-25.74,N/A
2026.05.01 14:01:54,long,-26.13,N/A
2026.05.04 14:30:50,long,-24.2,N/A
2026.05.06 09:31:38,short,-25.34,N/A
2026.05.06 10:45:15,short,-24.31,N/A
2026.05.06 11:49:05,short,-28.92,N/A
2026.05.11 10:16:04,long,-28.49,N/A
2026.05.12 10:03:42,long,-27.82,N/A
2026.05.15 12:48:10,long,-29.04,N/A
2026.05.19 17:21:14,long,-26.58,N/A
2026.05.27 15:58:24,long,-26.56,N/A
2026.05.27 17:33:17,long,-22.95,N/A
2026.05.28 09:03:18,long,-27.5,N/A
2026.06.02 09:21:21,short,-24.18,N/A
2026.06.02 11:01:06,short,-24.57,N/A
2026.06.04 15:36:08,short,-26.8,N/A
2026.06.04 18:52:17,short,-22.96,N/A
2026.06.09 18:23:50,long,-25.83,N/A
2026.06.10 09:44:32,long,-24.31,N/A
2026.06.17 18:16:11,short,-27.83,N/A
2026.06.18 15:34:04,long,-29.4,N/A
2026.06.19 09:33:21,long,-28.82,N/A
2026.06.23 08:30:05,long,-29.7,N/A
2026.06.23 10:52:52,long,-25.44,N/A
2026.06.24 15:25:03,long,-52.58,N/A
2026.06.24 17:43:11,long,-25.8,N/A
2026.06.29 14:23:11,long,-25.96,N/A
